479,2024 Bison Open,"Feb 2, 2024"
480,NDSU Tune Up,"May 5, 2023"
481,SMU Cardinal Invitational,"Apr 15, 2023"
482,2023 Kip Janvrin Open,"Apr 27, 2023"
483,Mount Union Last Chance Tune-up,"May 17, 2023"
484,Viking Twilight,"Apr 26, 2023"
485,Al Bortke Open & Multi,"Apr 22, 2023"
486,36th Annual Ron Masanz Track & Field Classic,"Apr 29, 2023"
487,USD Early Bird,"Apr 7, 2023"
488,Kansas Relays,"Apr 13, 2023"
489,Al Cassell Classic,"Apr 28, 2023"
490,UND Tune-Up,"Feb 18, 2023"
491,CSB / SJU Invitational,"Feb 11, 2023"
492,Cobber Indoor Open,"Jan 21, 2023"
493,Bison Open,"Feb 3, 2023"
494,2022 Dakota Classic indoor,"Dec 2, 2022"
495,UND Open,"Jan 27, 2023"
496,2023 Nebraska Tune-Up,"Feb 17, 2023"
497,SDSU Indoor Classic,"Feb 10, 2023"
498,USD Early Bird,"Apr 2, 2022"
499,CSBSJU Last Minute Invite,"Apr 29, 2022"
500,St. Olaf Last Chance Multi Events,"May 18, 2022"
501,35th Annual Ron Masanz Track & Field Classic,"May 4, 2022"
502,Cougar Invitational,"Apr 2, 2022"
503,Bison Open,"Feb 4, 2022"
504,UND Open,"Jan 28, 2022"
505,Dakota Alumni Classic,"Dec 3, 2021"
506,CSB / SJU Invitational,"Feb 12, 2022"
507,Cobber Open,"Jan 22, 2022"
508,UND Tune-Up,"Feb 19, 2022"
509,SDSU Indoor Classic,"Feb 11, 2022"
510,Ron Masanz Track & Field Classic,"Apr 30, 2021"
511,NCC Gregory Final Qualifier Track & Field Meet-2021,"May 19, 2021"
512,NSU Spring Open,"Apr 24, 2021"
513,CSB / SJU Outdoor Meet,"Mar 27, 2021"
514,NDSU Spring Classic,"Apr 2, 2021"
515,South Dakota Tune-up,"May 7, 2021"
516,Cobber COVID Indoor Duals,"Feb 13, 2021"
517,CSB/SJU Meet #4,"Mar 6, 2021"
518,CSB/SJU vs Concordia Dual,"Feb 28, 2021"
519,UND Tune-Up,"Feb 20, 2021"
520,Bison Open,"Feb 5, 2021"
521,UND Tune-Up,"Feb 22, 2020"
522,UND Indoor Open,"Jan 30, 2020"
523,Bison Open,"Feb 7, 2020"
524,CSB / SJU Invitational,"Feb 15, 2020"
525,Cobber Open,"Jan 25, 2020"
526,Dakota Classic,"Dec 6, 2019"
527,Cobber Twilight,"Apr 23, 2019"
528,Meet of the Saints,"May 4, 2019"
529,33rd ANNUAL RON MASANZ TRACK & FIELD CLASSIC,"Apr 26, 2019"
